id,name,type
3087,小蓟,中药
3088,薤白,中药
3089,心茯苓,中药
3090,杏仁,中药
3091,雄黄,中药
3092,续断,中药
3093,玄参,中药
3094,玄鑫,中药
3095,延胡索,中药
3096,炎甘草,中药
3097,样泻,中药
3098,野菊花,中药
3099,夜交藤,中药
3100,益母草,中药
3101,益元散,中药
3102,薏苡仁,中药
3103,银花,中药
3104,银杏,中药
3105,淫羊藿,中药
3106,淫羊蛮,中药
3107,郁金,中药
3108,远志,中药
3109,远志肉,中药
3110,皂角刺,中药
3111,泽兰叶,中药
3112,泽泻,中药
3113,泽汚,中药
3114,浙贝母,中药
3115,知母,中药
3116,栀子,中药
3117,枳壳,中药
3118,枳实,中药
3119,制半夏,中药
3120,制南星,中药
3121,制山茱萸,中药
3122,制菟丝子,中药
3123,制香附,中药
3124,炙穿山甲,中药
3125,炙甘草,中药
3126,炙黄芪,中药
3127,炙僵蚕,中药
3128,炙没药,中药
3129,炙乳香,中药
3130,炙远志,中药
3131,炙枳实,中药
3132,朱砂,中药
3133,硃茯神,中药
3134,猪苓,中药
3135,竹茹,中药
3136,竹叶,中药
3137,竹叶心,中药
3138,紫背天葵子,中药
3139,紫花地,中药
3140,紫花地丁,中药
3141,紫苏,中药
3142,紫菀,中药
3143,棕榈皮,中药
3144,吴茱萸,中药
15802,阿芙蓉,中药
15803,阿胶,中药
15804,阿胶珠,中药
15805,矮茶风,中药
15806,矮硫磺,中药
15807,艾,中药
15808,艾根,中药
15809,艾绵,中药
15810,艾茸,中药
15811,艾绒,中药
15812,艾绒炭,中药
15813,艾炭,中药
15814,艾线,中药
15815,艾絮,中药
15816,艾叶,中药
15817,艾叶灰,中药
15818,艾叶末,中药
15819,安宫牛黄丸,中药
15820,安神膏,中药
15821,八宝红灵丹,中药
15822,八角儿,中药
15823,八角附子,中药
15824,八角茴,中药
15825,八角茴香,中药
15826,八角香,中药
15827,八月扎,中药
15828,巴豆,中药
15829,巴豆仁,中药
15830,巴豆肉,中药
15831,巴豆霜,中药
15832,巴豆油,中药
15833,巴戟,中药
15834,巴戟肉,中药
15835,巴仁,中药
15836,巴霜,中药
15837,叭杏仁,中药
15838,芭蕉根,中药
15839,茇葜,中药
15840,菝葜,中药
15841,白艾灰,中药
15842,白艾叶,中药
15843,白扁豆花,中药
15844,白槟榔,中药
15845,白苍术,中药
15846,白丑,中药
15847,白楚仁,中药
15848,白川米,中药
15849,白瓷屑,中药
15850,白磁粉,中药
15851,白雌鸡,中药
15852,白丁香,中药
15853,白冬蜜,中药
15854,白豆蔻,中药
15855,白豆蔻末,中药
15856,白豆蔻仁,中药
15857,白鹅毛,中药
15858,白垩,中药
15859,白矾,中药
15860,白矾粉,中药
15861,白矾灰,中药
15862,白粉葛,中药
15863,白蜂蜜,中药
15864,白凤仙,中药
15865,白凤仙花,中药
15866,白凤仙子,中药
15867,白芙蓉叶,中药
15868,白茯,中药
15869,白茯神,中药
15870,白附,中药
15871,白附子,中药
15872,白甘菊,中药
15873,白瓜子,中药
15874,白果,中药
15875,白果根,中药
15876,白果仁,中药
15877,白果肉,中药
15878,白果外青皮,中药
15879,白果叶,中药
15880,白果汁,中药
15881,白杭米,中药
15882,白何首乌,中药
15883,白胡椒,中药
15884,白胡麻,中药
15885,白花,中药
15886,白花百合汁,中药
15887,白花商陆根,中药
15888,白花蛇,中药
15889,白花蛇颈肉,中药
15890,白花蛇肉,中药
15891,白花蛇舌草,中药
15892,白花蛇头,中药
15893,白花蛇蜕,中药
15894,白滑石,中药
15895,白芨,中药
15896,白鸡冠花,中药
15897,白及,中药
15898,白及粉,中药
15899,白及面,中药
15900,白及末,中药
15901,白急性子,中药
15902,白蒺黎,中药
15903,白蒺藜,中药
15904,白蒺藜仁,中药
15905,白姜,中药
15906,白姜蚕,中药
15907,白僵蚕,中药
15908,白降丹,中药
15909,白胶,中药
15910,白胶香,中药
15911,白椒,中药
15912,白芥,中药
15913,白槿皮,中药
15914,白粳米,中药
15915,白粳米饭,中药
15916,白颈蚯蚓,中药
15917,白酒浆,中药
15918,白酒药,中药
15919,白桔梗,中药
15920,白菊,中药
15921,白菊花,中药
15922,白蔻,中药
15923,白蔻肉,中药
15924,白葵花,中药
15925,白蜡,中药
15926,白雷丸,中药
15927,白莲,中药
15928,白莲花瓣,中药
15929,白莲花蕊,中药
15930,白莲肉,中药
15931,白莲蕊,中药
15932,白莲心,中药
15933,白莲须,中药
15934,白蔹,中药
15935,白龙骨,中药
15936,白炉甘石,中药
15937,白萝卜,中药
15938,白马茎,中药
15939,白马蹄,中药
15940,白马悬蹄,中药
15941,白毛乌肉雄鸡,中药
15942,白毛雄乌鸡,中药
15943,白茅根末,中药
15944,白茅花,中药
15945,白梅,中药
15946,白梅花,中药
15947,白梅肉,中药
15948,白米,中药
15949,白密,中药
15950,白蜜,中药
15951,白绵,中药
15952,白面,中药
15953,白硇砂,中药
15954,白糯米,中药
15955,白硼砂,中药
15956,白砒,中药
15957,白皮,中药
15958,白葡萄干,中药
15959,白牵牛,中药
15960,白茄根,中药
15961,白桑柴灰,中药
15962,白色商陆,中药
15963,白色土茯苓,中药
15964,白沙蜜,中药
15965,白沙糖,中药
15966,白砂蜜,中药
15967,白砂糖,中药
15968,白鳝鱼,中药
15969,白商陆根汁,中药
15970,白芍药,中药
15971,白少蜜,中药
15972,白圣,中药
15973,白石膏,中药
15974,白石英,中药
15975,白石脂,中药
15976,白食盐,中药
15977,白蜀葵,中药
15978,白术炭,中药
15979,白霜梅,中药
15980,白松香,中药
15981,白檀,中药
15982,白檀香,中药
15983,白饧,中药
15984,白糖,中药
15985,白糖霜,中药
15986,白田螺壳,中药
15987,白通草,中药
15988,白头翁,中药
15989,白薇,中药
15990,白芜荑,中药
15991,白芜荑仁,中药
15992,白细辛,中药
15993,白鲜皮,中药
15994,白藓皮,中药
15995,白香,中药
15996,白消,中药
15997,白信,中药
15998,白杏仁,中药
15999,白雄鸡胆,中药
16000,白玄明粉,中药
16001,白盐,中药
16002,白盐梅,中药
16003,白羊肾,中药
16004,白杨皮,中药
16005,白药,中药
16006,白药子,中药
16007,白于术,中药
16008,白鱼,中药
16009,白玉簪花根,中药
16010,白云苓,中药
16011,白占,中药
16012,白樟柳,中药
16013,白樟柳根,中药
16014,白芷粉,中药
16015,白芷末,中药
16016,白芷梢,中药
16017,白烛油,中药
16018,百部,中药
16019,百部根,中药
16020,百草辂,中药
16021,百草霜,中药
16022,百茯苓,中药
16023,百合,中药
16024,百药煎,中药
16025,柏白皮,中药
16026,柏木白皮,中药
16027,柏皮,中药
16028,柏树叶,中药
16029,柏叶,中药
16030,柏油,中药
16031,柏枝,中药
16032,柏子,中药
16033,柏子仁,中药
16034,柏子仁霜,中药
16035,败鼓皮心,中药
16036,败龟,中药
16037,败龟板,中药
16038,败龟版,中药
16039,败龟版灰,中药
16040,败龟甲,中药
16041,败酱,中药
16042,败酱草,中药
16043,败蒲,中药
16044,败棕榈,中药
16045,薭解,中药
16046,斑蝥,中药
16047,斑蟊,中药
16048,半枝莲,中药
16049,蚌粉,中药
16050,蚌壳,中药
16051,蚌壳粉,中药
16052,薄川朴,中药
16053,薄桂,中药
16054,薄荷冰,中药
16055,薄荷炭,中药
16056,薄荷油,中药
16057,薄荷汁,中药
16058,薄石,中药
16059,抱茯神,中药
16060,抱木茯神,中药
16061,豹骨胶,中药
16062,鲍鱼,中药
16063,北柴胡,中药
16064,北矾,中药
16065,北防风,中药
16066,北芪,中药
16067,北前胡,中药
16068,北味,中药
16069,北五灵脂,中药
16070,北五味,中药
16071,北五味子,中药
16072,北细辛,中药
16073,贝齿,中药
16074,荸荠,中药
16075,荸荠粉,中药
16076,荜拔,中药
16077,荜茇,中药
16078,荜茇末,中药
16079,荜拨,中药
16080,荜澄茄,中药
16081,萆麻仁,中药
16082,萆麻子,中药
16083,筚茇,中药
16084,蓖麻,中药
16085,蓖麻仁,中药
16086,蓖麻叶,中药
16087,蓖麻油,中药
16088,蓖麻子肉,中药
16089,碧玉散,中药
16090,壁宫,中药
16091,壁虎,中药
16092,壁钱,中药
16093,壁鱼,中药
16094,萹蓄,中药
16095,萹竹,中药
16096,蝙蝠,中药
16097,扁柏枝叶,中药
16098,扁豆,中药
16099,扁豆茎,中药
16100,扁豆叶,中药
16101,扁豆衣,中药
16102,扁蓄,中药
16103,鳔,中药
16104,鳔胶,中药
16105,鳖甲,中药
16106,鳖肉,中药
16107,鳖头,中药
16108,鳖头灰,中药
16109,槟榔末,中药
16110,槟榔衣,中药
16111,槟榔子,中药
16112,冰,中药
16113,冰糖,中药
16114,菠菜子,中药
16115,舶上茴香,中药
16116,舶上硫黄,中药
16117,补骨脂乙醇流浸膏,中药
16118,哺胎鸡蛋壳,中药
16119,哺退鸡蛋壳白皮,中药
16120,不灰木,中药
16121,不蛀皂角,中药
16122,猜垂蹄甲,中药
16123,参苓平胃散,中药
16124,参三七,中药
16125,参山漆,中药
16126,蚕豆花,中药
16127,蚕蛾,中药
16128,蚕茧壳,中药
16129,蚕沙,中药
16130,蚕砂,中药
16131,蚕退,中药
16132,蚕退纸,中药
16133,蚕蜕,中药
16134,蚕蜕纸,中药
16135,蚕纸,中药
16136,仓米,中药
16137,苍耳,中药
16138,苍耳草,中药
16139,苍耳草根,中药
16140,苍耳虫,中药
16141,苍耳嫩苗叶,中药
16142,苍耳茸,中药
16143,苍耳叶,中药
16144,苍耳子茎叶,中药
16145,苍术苗,中药
16146,苍术皮,中药
16147,苍术炭,中药
16148,藏菖蒲,中药
16149,藏瓜姜糟,中药
16150,藏红花,中药
16151,糙米,中药
16152,草豆寇皮,中药
16153,草豆寇仁,中药
16154,草豆蔻,中药
16155,草豆蔻仁,中药
16156,草果,中药
16157,草果皮,中药
16158,草果子,中药
16159,草果子仁,中药
16160,草河车,中药
16161,草红花,中药
16162,草决明,中药
16163,草决明根,中药
16164,草决明子,中药
16165,草龙胆,中药
16166,草梢,中药
16167,草乌,中药
16168,草乌尖,中药
16169,草乌头,中药
16170,侧柏,中药
16171,侧柏叶,中药
16172,茶,中药
16173,茶香根,中药
16174,茶芽,中药
16175,蝉壳,中药
16176,蝉退,中药
16177,蟾头灰,中药
16178,潮脑,中药
16179,炒白牵牛子,中药
16180,炒白术,中药
16181,炒苍术,中药
16182,炒二丑,中药
16183,炒黑豆,中药
16184,炒黑荆芥,中药
16185,炒僵蚕,中药
16186,炒军,中药
16187,炒萝卜子,中药
16188,炒糯米粉,中药
16189,炒蕲艾,中药
16190,炒杞子,中药
16191,炒乳香,中药
16192,炒三仙,中药
16193,炒熟蚕豆壳,中药
16194,炒杏仁,中药
16195,炒盐,中药
16196,炒於术,中药
16197,炒枣仁,中药
16198,炒栀仁,中药
16199,炒紫苏子,中药
16200,车前,中药
16201,车前草,中药
16202,车前仁,中药
16203,车前叶,中药
16204,车螫壳,中药
16205,辰砂,中药
16206,辰州砂,中药
16207,陈白梅,中药
16208,陈蚕豆,中药
16209,陈仓米,中药
16210,陈茶,中药
16211,陈茶叶,中药
16212,陈醋,中药
16213,陈蜂窝,中药
16214,陈火腿骨,中药
16215,陈酒,中药
16216,陈橘红,中药
16217,陈橘皮,中药
16218,陈腊茶末,中药
16219,陈老龟甲,中药
16220,陈麦曲,中药
16221,陈米,中药
16222,陈米饮,中药
16223,陈面,中药
16224,陈墨,中药
16225,陈年石灰,中药
16226,陈曲,中药
16227,陈石灰,中药
