id,name,type
3228,安胎丸,方剂
3229,安胎饮,方剂
3230,安痛散,方剂
3231,安土汤,方剂
3232,安豚丹,方剂
3233,安胃和脾散,方剂
3234,安胃散,方剂
3235,安胃汤,方剂
3236,安胃丸,方剂
3237,安胃饮,方剂
3238,安息膏,方剂
3239,安息活血丹,方剂
3240,安息香丸,方剂
3241,安心绝梦汤,方剂
3242,安心汤,方剂
3243,安血饮,方剂
3244,安养汤,方剂
3245,安营散,方剂
3246,安中散,方剂
3247,安中调气丸,方剂
3248,安珠散,方剂
3249,八白散,方剂
3250,八白丸,方剂
3251,八宝丹,方剂
3252,八宝膏,方剂
3253,八宝光明散,方剂
3254,八宝化毒丹,方剂
3255,八宝蠲痛汤,方剂
3256,八宝坤顺丸,方剂
3257,八宝瑞生丹,方剂
3258,八宝散,方剂
3259,八宝生肌丹,方剂
3260,八宝生肌散,方剂
3261,八宝圣灵丹,方剂
3262,八宝消毒散,方剂
3263,八宝眼药,方剂
3264,八宝药墨,方剂
3265,八宝饮,方剂
3266,八宝珍珠散,方剂
3267,八宝治红丹,方剂
3268,八反膏,方剂
3269,八风丹,方剂
3270,八风散,方剂
3271,八风汤,方剂
3272,八骨散,方剂
3273,八卦串,方剂
3274,八将丹,方剂
3275,八解散,方剂
3276,八斤丸,方剂
3277,八君子汤,方剂
3278,八厘宝,方剂
3279,八厘金,方剂
3280,八厘散,方剂
3281,八厘丸,方剂
3282,八灵丸,方剂
3283,八妙丸,方剂
3284,八神丹,方剂
3285,八神汤,方剂
3286,八生饮子,方剂
3287,八圣丹,方剂
3288,八圣散,方剂
3289,八威灵散,方剂
3290,八味丹,方剂
3291,八味地黄丸,方剂
3292,八味还晴散,方剂
3293,八味厚朴丸,方剂
3294,八味回阳饮,方剂
3295,八味理中丸,方剂
3296,八味平胃散,方剂
3297,八味清心沉香散,方剂
3298,八味散,方剂
3299,八味生脉汤,方剂
3300,八味顺气散,方剂
3301,八味檀香散,方剂
3302,八味汤,方剂
3303,八味丸,方剂
3304,八味消风饮,方剂
3305,八味养血汤,方剂
3306,八味知母汤,方剂
3307,八物参术丸,方剂
3308,八物煎,方剂
3309,八物汤,方剂
3310,八仙茶,方剂
3311,八仙串,方剂
3312,八仙丹,方剂
3313,八仙膏,方剂
3314,八仙糕,方剂
3315,八仙解毒汤,方剂
3316,八仙酒,方剂
3317,八仙妙应丹,方剂
3318,八仙散,方剂
3319,八仙汤,方剂
3320,八仙添寿丹,方剂
3321,八仙丸,方剂
3322,八仙逍遥汤,方剂
3323,八仙饮,方剂
3324,八仙玉液,方剂
3325,八仙长寿丸,方剂
3326,八叶汤,方剂
3327,八珍丹,方剂
3328,八珍锭,方剂
3329,八珍粉,方剂
3330,八珍糕,方剂
3331,八珍酒,方剂
3332,八珍散,方剂
3333,八珍丸,方剂
3334,八珍养血丸,方剂
3335,八珍益母十全丸,方剂
3336,八真丹,方剂
3337,八正顺气散,方剂
3338,八制保瞳丸,方剂
3339,八柱散,方剂
3340,八柱汤,方剂
3341,八子丸,方剂
3342,巴豆白膏,方剂
3343,巴豆丹砂丸,方剂
3344,巴豆膏,方剂
3345,巴豆散,方剂
3346,巴豆蒜,方剂
3347,巴豆丸,方剂
3348,巴豆线,方剂
3349,巴豆烟,方剂
3350,巴豆油膏,方剂
3351,巴黄散,方剂
3352,巴戟浸酒,方剂
3353,巴戟散,方剂
3354,巴戟天汤,方剂
3355,巴戟天丸,方剂
3356,巴戟丸,方剂
3357,巴鲫膏,方剂
3358,巴菊枸杞丸,方剂
3359,芭蕉散,方剂
3360,拔疔丹,方剂
3361,拔疔散,方剂
3362,拔毒锭,方剂
3363,拔毒膏,方剂
3364,拔毒散,方剂
3365,拔毒生肌散,方剂
3366,拔管丸,方剂
3367,拔脓净,方剂
3368,菝葜汤,方剂
3369,白柏丸,方剂
3370,白斑散,方剂
3371,白疕丸,方剂
3372,白扁豆散,方剂
3373,白扁豆粥,方剂
3374,白驳,方剂
3375,白蚕散,方剂
3376,白蚕丸,方剂
3377,白草散,方剂
3378,白丑散,方剂
3379,白雌鸡汤,方剂
3380,白带丹,方剂
3381,白带丸,方剂
3382,白癜风酒,方剂
3383,白丁香散,方剂
3384,白丁香丸,方剂
3385,白疔散,方剂
3386,白豆蔻散,方剂
3387,白豆蔻汤,方剂
3388,白豆蔻丸,方剂
3389,白豆散,方剂
3390,白矾酊,方剂
3391,白矾膏,方剂
3392,白矾灰散,方剂
3393,白矾煎,方剂
3394,白矾散,方剂
3395,白矾散,方剂
3396,白矾涂方,方剂
3397,白矾丸,方剂
3398,白粉灵丹,方剂
3399,白粉散,方剂
3400,白粉霜,方剂
3401,白凤丹,方剂
3402,白凤膏,方剂
3403,白凤散,方剂
3404,白凤丸,方剂
3405,白凤饮,方剂
3406,白茯苓散,方剂
3407,白茯苓汤,方剂
3408,白茯苓丸,方剂
3409,白附丹,方剂
3410,白附汤,方剂
3411,白附天麻汤,方剂
3412,白附丸,方剂
3413,白附子散,方剂
3414,白附子丸,方剂
3415,白膏,方剂
3416,白膏药,方剂
3417,白膏子,方剂
3418,白瓜子丸,方剂
3419,白果蛋方,方剂
3420,白果汤,方剂
3421,白果叶散,方剂
3422,白虎承气汤,方剂
3423,白虎丹,方剂
3424,白虎加苍术汤,方剂
3425,白虎加人参汤,方剂
3426,白花膏,方剂
3427,白花蛇膏,方剂
3428,白花蛇酒,方剂
3429,白花蛇散,方剂
3430,白花蛇丸,方剂
3431,白花丸,方剂
3432,白花饮,方剂
3433,白华散,方剂
3434,白黄散,方剂
3435,白灰散,方剂
3436,白及锭,方剂
3437,白及肺,方剂
3438,白及膏,方剂
3439,白及莲须散,方剂
3440,白及枇杷丸,方剂
3441,白及散,方剂
3442,白及丸,方剂
3443,白及雄黄散,方剂
3444,白蒺藜散,方剂
3445,白蒺藜汤,方剂
3446,白蒺藜丸,方剂
