调和]气血,调理气血,理气和血
温清并用,寒温并用
调理冲任,调摄冲任
清热泻火,清热降火,苦寒清热,苦寒泄火
辛寒清热,辛寒清气
清热养阴,泻火养阴,清热滋阴,泻火滋阴
清热止渴,泻火止渴
清热解毒,泄热解毒,清热败毒,泄热败毒,泻火解毒,清火解毒,清泻火毒
清热凉血,清气凉血
清热凉营,清气凉营
清热止血,泻火止血
清热透疹,凉营透疹
清热消肿,泻火消肿
清热止痛,泻火止痛
清营泄热,凉营泄热
清营透热,透营转气
凉血清热,凉血泻火
凉血化斑,凉营化斑
清宣郁热,清泄郁热,清宣郁火,清泄郁火,解郁泄热,解郁泻火,清热除烦,清心除烦
清泄虚热,清泄虚火
清泄里热,清泄脏腑
清心泻火,清心泄热
清心导赤,清泻火腑
清心凉血,凉血清心
清肺解毒,宣肺解毒
清肺平喘,清热平喘
清肺止咳,清热止咳
清胃泄热,清胃泄降热,清胃泄火,清胃降火,清泄胃热
清热和胃,清热和中
清胃止血,清胃凉血
清胃滋阴,清胃养阴
清脾泄热,清脾泻火,清泄脾胃伏火
清肝泄火,清肝泻火,清肝泄热,清肝泻热
疏肝清热,疏肝泄热
清肝解毒,泻肝解毒
清泄胆热,清泄胆火
清泻肝胆,清泄肝胆
清肠止泻,清热止泻
清热通淋,泻火通淋
清热生津,泄热生津,清热存津,泄热存津,甘凉清热
宣通气机,宣畅气机
理气解郁,理气开郁,行气解郁,行气开郁,顺气解郁,顺气开郁
疏肝理气,疏肝解郁
疏肝散结,解郁散结,理气散结
疏肝养血,舒肝养血
降逆平喘,下气平喘
宣肺止咳,顺气止咳,降逆止咳
行气和胃,行气健胃,理气和胃,理气健胃,行气宽中,行气除满,行气消痞
行气降逆,顺气降逆
降逆止呕,和胃止呕
理气消痞,行气消痞,理气散结,行气散结
理气破积,行气破积,理气消积,行气消积
理气止痛,行气止痛
理气通络,行气通络,理气和络,行气和络
理气化瘀,行气化瘀,理气祛瘀,行气祛瘀,理气活血,行气活血
理气调经,行气调经
理气安胎,调气安胎
理气消肿,行气消肿
活血化瘀,活血祛瘀,活血散瘀
行血祛瘀,行血逐瘀
破血行瘀,破血逐瘀
攻下逐瘀,攻逐瘀血
和营行瘀,和营活血
化瘀清热,清热化瘀
凉血化瘀,凉血散瘀,凉血破瘀
活血行滞,活血行气
活血消积,活血消症
化瘀消积,破瘀消积,化瘀消症,破瘀消症
活血散结,化瘀散结
破瘀散结,祛瘀散结,破瘀软坚,祛瘀软坚
祛瘀生新,化瘀生新
活血养血,和血养血,祛瘀养血,化瘀养血
祛瘀通络,化瘀通络,行瘀通络
化瘀消肿,祛瘀消肿,散瘀消肿,破瘀消肿
活血舒筋,祛瘀舒筋
活血祛风,活血搜风
活血止痛,活血通络止痛
化瘀止痛,祛瘀止痛,散瘀止痛
化瘀止血,祛瘀止血
和络,通络,活络
宣痹和络,通痹和络
活血通痹,化瘀通痹
舒筋和络,舒筋通络
活血调经,和血调经
祛瘀下胎,化瘀下胎,祛瘀催产,化瘀催产
辟秽化浊,芳香化浊,辟秽泄浊,芳香泄浊
分清降浊,分清泄浊,分清泌浊
轻清宣化,轻清芳化,清宣化浊
利湿化浊,祛湿化浊
宣散湿邪,宣散湿浊
行气化湿,理气化湿
化湿和营,燥湿和营
化湿和中,化湿醒脾,化湿运脾,化湿健脾
健脾化湿,扶脾化湿,健脾祛湿,扶脾祛湿
健脾渗湿,健脾利湿,渗湿健脾
燥湿运脾,燥湿健脾
淡渗分利,淡渗祛湿
宽中利湿,宽中化湿
清心利湿,清心利水,清心利膀胱
燥湿行气,燥湿行滞
燥湿和胃,燥湿和中
祛风燥湿,疏风燥湿,祛风化湿,疏风化湿
散寒除湿,散寒祛湿,散寒燥湿
清热祛湿,清热除湿
清泄湿热,化湿泄热
清利三焦,清化三焦,清利三焦湿热,清化三焦湿热
清利中焦,清利中焦湿热
清利脾胃,清利脾胃湿热
清利脾经,清利脾经湿热
清利肝胆,清利肝胆湿热
清利肝经,清利肝经湿热
清利肠道,清利湿热
清利膀胱,清利膀胱湿热
清利下焦,清利下焦湿热
清宣上焦,清宣上焦湿热
清热燥湿解毒,泄热燥湿解毒,清热化湿解毒,泄热化湿解毒
渗湿利水,渗湿利尿,利水渗湿,利水除湿
健脾利水,温脾利水,健脾制水,温脾制水
宣肺利水,泻肺利水,宣肺行水,泻肺行水
疏风利水,祛风利水
解表利水,发表利水,发汗行水
化气利水,化气行水
除湿通络,化湿通络
除湿止痛,祛湿止痛
祛湿除满,燥湿除满,祛湿除痞,燥湿除痞,祛湿散满,燥湿散痞,燥湿散满,祛湿散痞
除湿止痒,祛湿止痒,燥湿止痒
除湿止带,祛湿止带
祛湿止泻,渗湿止泻,化湿止泻
祛湿宣痹,化湿宣痹
轻宣润燥,轻宣外燥
祛风润燥,疏风润燥
轻宣凉燥,散寒润燥
清肺润燥,清燥润肺
滋阴润燥,养阴润燥
养血润燥,补血润燥
润肤止痒,润燥止痒
润燥止咳,润肺止咳
补气,益气,扶正补气,扶正益气
补气生血,益气生血
补气活血,补气祛瘀,补气行瘀,益气活血,益祛瘀,益气行瘀
补气生津,益气生津
益气退热,甘温除热
益气下胎,益气催产
补气化湿,益气化湿,补气祛湿,益气祛湿
补益心气,补心益气
补益肺气,补肺益气
补益中气,补脾健胃,补脾益胃,补中益气
补脾益气,健脾益气,补脾补气,健脾补气
补脾止泻,补脾止泄
补气升提,益气升提,补脾升阳,益气升阳,升阳益气
补气摄血,补脾摄血,补气统血,补脾统血
补益肝气,补肝益气
补益肾气,补肾益气
补肾扶元,补肾培元
补肾纳气,补肾益肺,纳气平喘
补肾安胎,补气安胎
补益心肺,补心益肺
补脾益肺,培土生金
补益脾肾,补脾益肾
大补真阴,填补真阴
滋补心肺,滋养心肺
滋补肝胃,滋养肝胃
滋补脾胃,滋养脾胃
滋补肝肾,滋养肝肾,滋肾养肝,滋水涵木
滋补心肾,滋养心肾
滋补肺肾,滋养肺肾
滋补肺胃,滋养肺胃
滋阴生津,养阴生津
滋阴潜阳,育阴潜阳
坚阴止痢,养阴止痢,育阴止痢
滋阴解毒,滋阴清热解毒
滋阴化湿,滋阴利湿
滋阴通便,滋阴润肠
补阳益气,温阳益气
补阳,壮阳,温阳
温补脾阳,温运脾阳
温补胃阳,温阳益胃,温中益胃,温阳和胃,温中和胃
温补肾阳,温补肾气,温肾壮阳,补肾壮阳
温补下元,温补元阳
补肾止泻,温肾止泻
温中涩肠,温脾涩肠,温中止泻,温脾止泻
温中止血,温脾止血
温阳行气,温阳理气
温阳宣痹,温阳通痹
温阳散结,温通散结
温阳活血,温阳化瘀
温阳止痢,温中止痢
温阳利水,温阳化水,温阳行水
补益气血,补气养血
调补气血,调养气血
补益肝脾,补益肝脾气血
补益心脾,补益心脾气血
补益心肝,补益心肝气血
滋阴补阳,滋阴温阳
益气滋阴,益气养阴,滋阴益气,养阴益气
补益精髓,补精益髓,补精填髓,补肾益髓,补肾填髓
补肾益精,补肾填精
回阳,回阳救急
回阳救逆,扶阳救逆
回阳固脱,温阳固脱
回阳通脉,回阳生脉
温阳散寒,温里散寒
温中散寒,温中祛寒
温肾散寒,温肾祛寒
温通小肠,散寒温肠
温经散寒,温经祛寒
暖宫散寒,温经暖宫
温通经脉,温通血脉
温经通络,温阳通络
散寒宣痹,祛寒宣痹
祛暑清热,涤暑清热
祛暑解表,解表清暑,透表清暑
祛暑利湿,清暑利]湿,祛暑化湿,清暑化湿
疏散风邪,疏散外风
祛风解肌,疏风解肌
疏风解毒,驱风解毒,疏散风毒
